MLVM,TRANSPORT,Romania,true,7,700,48,mitralieră grea KPVT 14.5 mm,mitralieră PKT 7.62 mm,SENILATA
TAB B33 Zimbru,TRANSPORT,Romania,true,10,700,85,mitralieră grea KPVT 14.5 mm,mitralieră PKT 7.62 mm,ROTI
TAB-77,TRANSPORT,Romania,true,11,550,80,mitralieră grea MTB 14.5 mm,mitralieră PKT 7.62 mm,ROTI
TABC-79,TRANSPORT,Romania,true,11,700,85,mitralieră grea KPVT 14.5 mm,mitralieră PKT 7.62 mm,ROTI
MOWAG Piranha,TRANSPORT,Elvetia,true,11,700,85,stație de luptă FNNH Arrows cu mitralieră grea M2HB,mortiere 120 mm,ROTI
